,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,         REFRACTIVE INDICES         ,,,,,,ABBE,,,ABBE,            DISPERSIONS,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,         RELATIVE PARTIAL DISPERSIONS    ,,,,,                    RELATIVE PARTIAL DISPERSIONS                                                          ,,,,,,,,,DEVIATION OF RELATIVE PARTIAL DISPERSIONS,,,,,                          CONSTANTS  OF DISPERSION FORMULA (Sellmeier)                            ,,,,,,                          CONSTANTS  OF DISPERSION FORMULA (Cauchy)                            ,,,,,,       COLORING,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                           INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,,                                      INTERNAL  TRANSMISSION  (10mm Thick)            ,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,                                       dn/dt  RELATIVE   (10E-6 / ºC),,,,,,,,,,                   THERMAL PROPERTIES                  ,,,,,CTE a (10E-7ºC),,CONDUCTIVITY,                              MECHANICAL PROPERTIES                              ,,,,,,,                                     CHEMICAL PROPERTIES             ,,,,,,BUBBLE GRP,SPEC. GRVTY,Remarks,,
Glass ,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,n334,n326,vd,,,ve,nF-nC,,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"qC,t","qC,A'","qd,C","qe,C","qg,d","qg,F","q h,g","q i,g","q'C',t","q'e,C'","q'F',e","q'i,F'","DqC,t","DqC,A'","Dqg,d","Dqg,F","Dq i,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,l80,l5,240,250,260,270,280,290,300,310,320,330,340,350,360,365,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),633(-40~-20),633(20~0),633(0~20),633(20~40),633(40~60),633(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80),i(-40~-20),i(-20~0),i(0~20),i(20~40),i(40~60),i(60~80),StP (ºC),AP (ºC),Tg (ºC),At (ºC),SP (ºC),(-30~+70),(100~300),k (W/m·K),Young's (E) ,Rigidity (G),Poisson's(s),Knoop (Hk),Group,Abrasion(Aa),b,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d,,,
S-FPL53,FPL53,439950,440946,1.4251489,1.4276254,1.4303191,1.4326927,1.4334681,1.4348038,1.4357048,1.4365235,1.4373341,1.4375601,1.4377711,1.4387087,1.4387499,1.4398532,1.4419529,1.4422128,1.4440951,1.4444202,1.446444,1.4498397,,,95.0,94.6,94.99,94.53,0.00462,0.004619,0.004653,0.003866,0.001629,0.001416,0.002519,0.005670,0.002467,0.002024,0.005420,0.004092,0.002293,0.002360,0.007627,0.8370,0.3527,0.3066,0.5454,1.2275,0.5341,0.4382,1.1734,0.8794,0.4928,0.5072,1.6392,-0.1554,-0.0384,0.06,0.0463,0.2438,1.04505995E+00,8.16073868E-03,2.71674055E+00,6.29473266E-03,-5.67620722E-02,6.35803555E+02,,,,,,,34,29,,,,,0.02,0.07,0.21,0.42,0.64,0.8,0.905,0.956,0.98,,0.99,0.995,0.996,0.996,0.995,0.996,0.997,0.997,0.997,0.999,0.999,0.998,0.998,0.997,0.996,0.996,0.996,0.996,0.996,0.995,0.996,0.993,0.994,,,,,,,-6.1,-6.5,-6.8,-7.1,-7.4,-7.7,,,,,,,-6,-6.4,-6.8,-7.1,-7.3,-7.6,-6,-6.4,-6.8,-7,-7.3,-7.5,-5.9,-6.3,-6.6,-6.9,-7.2,-7.4,-5.8,-6.2,-6.5,-6.7,-7,-7.2,,,,,,,--,--,436,456,--,142,163,0.875,694,267,0.302,360,4,389,0.56,3,3,2,3,52.0,4.0,1,3.63,,,337
S-FPL52,FPL52,456903,457900,1.4407551,1.4436019,1.4466679,1.4493345,1.4501969,1.4516732,1.4526643,1.4535624,1.4544503,1.4546976,1.4549285,1.4559538,1.4559989,1.4572046,1.4594979,1.4597818,1.4618379,1.4621931,1.4644051,1.468121,,,90.3,90,90.33,89.93,0.00505,0.005048,0.005084,0.004253,0.001786,0.001549,0.002755,0.006194,0.002695,0.002212,0.005928,0.004501,0.002507,0.002577,0.008339,0.8425,0.3538,0.3069,0.5458,1.2270,0.5339,0.4382,1.1743,0.8853,0.4931,0.5069,1.6402,-0.1280,-0.0316,0.0498,0.0386,0.2057,1.08053735E+00,2.09392205E-02,1.33017772E+00,6.82878453E-03,-2.97206675E-02,2.72281522E+02,,,,,,,34,30,,,,,,0.01,0.06,0.2,0.42,0.65,0.81,0.912,0.956,,0.98,0.991,0.994,0.995,0.994,0.995,0.996,0.998,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,-4.8,-5.1,-5.4,-5.7,-6,-6.3,-4.7,-5,-5.3,-5.6,-5.9,-6.2,-4.7,-5,-5.3,-5.6,-5.9,-6.2,-4.7,-5,-5.3,-5.6,-5.8,-6.1,-4.6,-4.9,-5.2,-5.5,-5.8,-6.1,-4.5,-4.8,-5.1,-5.4,-5.6,-5.9,-4.3,-4.6,-4.9,-5.2,-5.5,-5.8,,,,,,,--,--,450,473,--,124,159,0.861,726,280,0.298,370,4,395,0.72,1,3,1,2,52.0,4.0,1,3.55,,,452
FSL 3,FSL 3,465659,,,,,,1.456117,1.4583413,1.4597849,1.4610703,1.4623269,1.4626751,1.4629996,1.4644356,1.4644986,1.4661801,1.4693714,1.4697664,1.4726291,1.4731247,1.4762117,1.4814211,,,66.0,65.8,65.94,65.74,0.00704,0.007044,0.007091,0.00621,0.002542,0.002172,0.003853,0.008626,0.003754,0.003087,0.008296,0.006558,0.003505,0.003586,0.011655,0.882,0.361,0.308,0.547,1.225,0.533,0.438,1.178,0.925,0.494,0.506,1.644,0.026,0.005,-0.003,-0.002,0.005,,,,,,,2.12056550E+00,-8.94372490E-03,9.02423930E-03,1.37862850E-04,-8.27503980E-07,2.67404480E-08,34,30,,,,,,,,,,,,,0.937,,0.966,0.975,0.986,0.99,0.993,0.993,0.995,0.996,0.997,0.998,0.997,0.997,0.998,,,,,,,,,,,,,,,,,-1.1,-0.9,-0.7,-0.5,-0.4,-0.3,,,,,,,-1,-0.8,-0.6,-0.4,-0.3,-0.2,-0.9,-0.7,-0.5,-0.3,-0.2,-0.1,-0.8,-0.5,-0.3,-0.1,0,0.1,-0.7,-0.4,-0.2,0,0.1,0.2,,,,,,,,,363,447,627,79,93,0.851,432,174,0.24,340,3,131,3.92,6,6,3,4,52.0,2.0,1,2.25,S,,450
S-FSL 5,FSL 5,487702,489701,1.4622669,1.467651,1.4732446,1.4777815,1.4791497,1.4813824,1.4828219,1.4840989,1.485344,1.4856885,1.4860095,1.4874277,1.4874899,1.4891473,1.4922848,1.4926725,1.4954788,1.4959635,1.498983,1.5040632,,,70.20,70.1,70.23,70.04,0.00694,0.006941,0.006984,0.006194,0.002522,0.002146,0.003803,0.008474,0.003679,0.003019,0.008099,0.006539,0.003458,0.003526,0.01139,0.8924,0.3633,0.3092,0.5479,1.2209,0.5300,0.4350,1.1668,0.9363,0.4951,0.5049,1.6309,0.0162,0.0023,0.002,0.0022,0.0299,1.17447043E+00,1.40056154E-02,1.19272435E+00,8.41855181E-03,-5.81790767E-02,1.29599726E+02,,,,,,,31,28,,,,,0.13,0.43,0.73,0.89,0.961,0.984,0.992,0.995,0.995,,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.982,0.992,0.985,0.971,0.88,0.87,-1.3,-1.3,-1.3,-1.1,-1,-0.9,-1.2,-1.1,-1.1,-0.8,-0.6,-0.4,-1.2,-1.1,-1,-0.8,-0.6,-0.4,-1.1,-1,-0.9,-0.7,-0.5,-0.3,-1.1,-1,-0.8,-0.6,-0.4,-0.2,-0.9,-0.8,-0.6,-0.4,-0.2,-0.1,-0.7,-0.6,-0.4,-0.3,0,0.2,,,,,,,457,491,500,568,679,90,95,1.007,623,254,0.227,520,5,111,2.87,3,4,1,2,3,2,1,2.46,,,339.0
S-FSL5Y,FSL5Y,487703,489702,1.46218,1.46761,1.47323,1.47778,1.47915,1.48138,1.48282,1.48410,1.48535,1.48569,1.48601,1.48743,1.48749,1.48915,1.49228,1.49266,1.49546,1.49594,1.49896,1.50404,1.50946,1.51116,70.3,,70.36,70.17,0.00693,0.006929,0.006971,0.006201,0.002523,0.002144,0.003799,0.008455,0.003670,0.003015,0.008099,0.006546,0.003454,0.003517,0.011382,0.8949,0.3641,0.3094,0.5483,1.2202,0.5297,0.4351,1.1689,0.9390,0.4955,0.5045,1.6328,0.0181,0.0029,0.0016,0.0021,0.0331,9.77409944E-01,2.10950834E-01,1.37142848E+00,5.57649364E-03,1.77000313E-02,1.49211443E+02,,,,,,,30,27,,,,,0.19,0.61,0.86,0.954,0.984,0.993,0.997,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.981,0.991,0.983,0.968,0.86,0.85,-1.2,-1.2,-1.2,-1.1,-1,-1,-1.2,-1.1,-1,-0.9,-0.8,-0.7,-1.2,-1.1,-1,-0.9,-0.8,-0.7,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-1.1,-1.0,-0.8,-0.7,-0.6,-0.5,-0.9,-0.8,-0.7,-0.6,-0.5,-0.3,-0.7,-0.6,-0.5,-0.4,-0.3,-0.1,-0.3,-0.2,0.0,0.1,0.3,0.4,,,,,676,89,97,1.002,622,253,0.229,530,5,113,2.87,3,4,2,3,3.0,2.0,1,2.46,,,
S-FPL51Y,FPL51Y,497811,498808,1.4798,1.48286,1.48617,1.48913,1.49011,1.49182,1.49299,1.49407,1.49513,1.49543,1.49571,1.49695,1.49700,1.49847,1.50126,1.50160,1.50412,1.50455,1.50727,1.51185,1.51673,1.51826,81.1,,81.14,80.74,0.00613,0.006125,0.006174,0.005027,0.002139,0.001870,0.003333,0.007551,0.003296,0.002716,0.007300,0.005325,0.003035,0.003139,0.010249,0.8207,0.3492,0.3053,0.5442,1.2328,0.5381,0.4434,1.1918,0.8625,0.4916,0.5084,1.6600,-0.1067,-0.0251,0.0366,0.0279,0.1462,1.14031443E+00,7.71496272E-02,1.43721957E+00,5.95466872E-03,2.23953953E-02,2.74290057E+02,,,,,,,31,,0.04,0.07,0.21,0.34,0.51,0.67,0.8,0.89,0.943,0.971,0.986,0.994,0.996,0.997,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.999,0.999,0.998,0.998,0.996,0.995,-6.4,-6.7,-6.9,-7.2,-7.4,-7.7,-6.3,-6.6,-6.8,-7.0,-7.3,-7.5,-6.3,-6.6,-6.8,-7.0,-7.3,-7.5,-6.3,-6.5,-6.7,-7,-7.2,-7.4,-6.2,-6.4,-6.7,-6.9,-7.1,-7.4,-6.0,-6.3,-6.5,-6.7,-7.0,-7.2,-5.9,-6.1,-6.4,-6.6,-6.8,-7.0,-5.5,-5.7,-5.9,-6.1,-6.3,-6.6,,,448,471,,136,161,0.780,716,275,0.302,380,4,476,,1,4,2,3,51.0,4.2,1,3.66,,,
S-FPL51,FPL51,497816,498810,1.4795998,1.4827295,1.4861228,1.4891272,1.4901179,1.4918385,1.4930083,1.4940763,1.4951377,1.4954342,1.4957113,1.4969446,1.4969989,1.4984543,1.5012329,1.5015776,1.5040769,1.5045092,1.5072031,1.5117339,,,81.6,81,81.54,81.13,0.00609,0.006095,0.006144,0.005020,0.002130,0.001861,0.003316,0.007510,0.003276,0.002694,0.007225,0.005316,0.003020,0.003124,0.010156,0.8236,0.3495,0.3053,0.5441,1.2322,0.5375,0.4420,1.1854,0.8652,0.4915,0.5085,1.6530,-0.1057,-0.0252,0.0368,0.028,0.1432,1.21225554E+00,5.70831551E-03,1.53884937E+00,7.34598694E-03,-1.13867370E-01,2.80228168E+02,,,,,,,34,29,,,,,0.01,0.05,0.14,0.33,0.55,0.74,0.86,0.937,0.97,,0.985,0.992,0.995,0.995,0.993,0.994,0.996,0.997,0.998,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.997,0.996,0.995,0.992,-5.9,-6.1,-6.3,-6.5,-6.7,-6.9,-5.8,-6,-6.2,-6.4,-6.6,-6.8,-5.8,-6,-6.2,-6.4,-6.6,-6.8,-5.7,-5.9,-6.1,-6.3,-6.5,-6.7,-5.6,-5.8,-6,-6.2,-6.4,-6.6,-5.5,-5.7,-5.9,-6.1,-6.3,-6.5,-5.4,-5.6,-5.8,-6,-6.2,-6.4,,,,,,,--,--,460,481,--,133,156,0.783,729,281,0.299,350,4,439,0.75,2,4,1,2,52.0,4.0,1,3.63,,,
BSL 3,BSL 3,498650,,,,,,1.4891596,1.4916012,1.493177,1.4945773,1.495945,1.4963239,1.496677,1.4982394,1.498308,1.5001374,1.5036082,1.5040377,1.5071482,1.5076865,1.5110387,1.5167048,,,65.1,64.8,65.03,64.83,0.00766,0.007663,0.007714,0.006785,0.002768,0.002363,0.004192,0.009379,0.004079,0.003352,0.009018,0.007164,0.003813,0.003901,0.012667,0.8854,0.3612,0.3084,0.5470,1.2239,0.5323,0.4374,1.1768,0.9287,0.4943,0.5057,1.6421,0.0336,0.0065,-0.0058,-0.004,-0.0037,,,,,,,2.21875680E+00,-1.04471850E-02,9.59044980E-03,2.85409430E-04,-1.91837410E-05,9.70045480E-07,33,29,,,,,,,,,,,0.941,0.968,0.983,,0.988,0.986,0.994,0.995,0.994,0.996,0.997,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,,,,,,,,,,,,,,,2.9,2.9,3,3.2,3.4,3.5,,,,,,,3,3,3.1,3.3,3.6,3.7,3.1,3.1,3.2,3.3,3.7,3.8,3.3,3.3,3.4,3.6,3.9,4,3.5,3.5,3.6,3.8,4.1,4.2,,,,,,,,,538,590,717,58,65,0.025,631,258,0.221,470,5,90,3.64,3,4,,2,3.0,2.0,2,2.36,,,SO
FTL10,FTL10,501564,,,,,,1.491491,1.4939643,1.4956372,1.4971649,1.4986871,1.4991133,1.4995121,1.5012929,1.5013717,1.5034877,1.5075769,1.5080891,1.5118415,1.5124985,1.5166448,1.5238981,,,56.4,56.1,56.40,56.09,0.00889,0.00889,0.008976,0.007196,0.00305,0.002685,0.004801,0.011127,0.004922,0.004146,0.011399,0.007622,0.004375,0.004601,0.015809,0.8094,0.3431,0.302,0.54,1.2516,0.5537,0.4664,1.2822,0.8492,0.4874,0.5126,1.7613,-0.0019,-0.0011,0.004,0.0035,0.0295,,,,,,,2.22232450E+00,-8.57605320E-03,1.09676980E-02,4.16936620E-04,-2.74634110E-05,2.17025300E-06,37,34,,,,,,,,,,,,,,,,0.917,0.962,0.98,0.99,0.992,0.995,0.996,0.997,0.998,0.997,0.997,0.998,,,,,,,,,,,,,,,,,-1.8,-1.7,-1.5,-1.3,-1.1,-0.8,,,,,,,-1.6,-1.5,-1.4,-1.2,-0.9,-0.6,-1.5,-1.4,-1.3,-1.1,-0.8,-0.5,-1.2,-1.1,-1,-0.8,-0.6,-0.3,-1,-0.9,-0.7,-0.4,-0.2,0.1,,,,,,,,,447,501,626,92,104,0.92,567,229,0.238,520,5,147,,1,3,,2,1.0,1.0,1,2.53,,,SO
