"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">",,
<!DOCTYPE HTML>><HTML><HEAD>,,
"<META content=""text/html; charset=windows-1252"" ",,
"http-equiv=""Content-Type""></HEAD>",,
<BODY><PRE><PRE>wl,n,k
0.2066,0.122846741,2.287852499
0.210895083,0.127663239,2.343802006
0.215279458,0.132638076,2.400694912
0.219754982,0.137780447,2.458564662
0.224323549,0.143101094,2.517444987
0.228987094,0.148612342,2.577369802
0.23374759,0.15432813,2.638373114
0.238607055,0.160264034,2.700488929
0.243567544,0.16643729,2.763751165
0.248631159,0.172866814,2.828193563
0.253800044,0.179573224,2.893849609
0.259076386,0.186578868,2.960752446
0.26446242,0.193907856,3.028934791
0.269960426,0.201586093,3.098428846
0.275572732,0.209641336,3.169266193
0.281301715,0.218103237,3.241477688
0.2871498,0.22700341,3.31509333
0.293119462,0.236375499,3.390142115
0.29921323,0.246255243,3.466651856
0.305433684,0.256680548,3.544648979
0.311783457,0.267691555,3.624158282
0.318265237,0.279330687,3.705202642
0.32488177,0.291642683,3.787802684
0.331635856,0.304674596,3.871976395
0.338530356,0.318475743,3.957738675
0.345568188,0.333097591,4.045100838
0.352752332,0.348593556,4.134070053
0.360085829,0.365018681,4.224648732
0.367571786,0.382429183,4.316833892
0.37521337,0.400881806,4.410616489
0.383013819,0.420432981,4.505980791
0.390976433,0.441137724,4.602903816
0.399104586,0.463048279,4.701354915
0.407401718,0.486212467,4.801295587
0.415871341,0.51067177,4.902679633
0.424517043,0.536459165,5.005453778
0.433342484,0.563596803,5.109558891
0.4423514,0.592093644,5.214931939
0.451547605,0.62194323,5.321508811
0.460934994,0.653121813,5.429228102
0.470517541,0.685587146,5.538035914
0.480299302,0.719278241,5.647891685
0.490284421,0.754116468,5.758774969
0.500477123,0.790008397,5.870693043
0.510881726,0.826850779,5.983689124
0.521502634,0.864538125,6.09785093
0.532344343,0.902973344,6.213319256
0.543411445,0.942082057,6.33029617
0.554708625,0.981831304,6.449052356
0.566240666,1.022253737,6.569932967
0.578012451,1.063478817,6.693361057
0.590028964,1.105773347,6.819837024
0.602295292,1.149594701,6.949931286
0.61481663,1.195661642,7.084264998
0.627598279,1.245049224,7.223469076
0.640645649,1.299315349,7.36810319
0.653964267,1.360664218,7.518500731
0.66755977,1.432138653,7.67447901
0.681437915,1.517790278,7.834814986
0.695604578,1.622666192,7.996354105
0.710065756,1.752227133,8.152676478
0.724827574,1.91052144,8.292597883
0.73989628,2.096478917,8.39965903
0.755278255,2.298903888,8.454776754
0.770980012,2.493347143,8.443684434
0.787008198,2.645617435,8.367043414
0.8033696,2.723491279,8.246450066
0.820071146,2.711037058,8.119920696
0.837119906,2.615965643,8.027720599
0.854523099,2.464780829,7.99728212
0.872288093,2.289721644,8.036555493
0.89042241,2.116797937,8.137837134
0.908933728,1.961008257,8.286476761
0.927829885,1.827896278,8.467966442
0.947118881,1.717352766,8.671111225
0.966808882,1.626804727,8.888371717
0.986908227,1.55306619,9.115070964
1.007425424,1.493167941,9.348463259
1.028369161,1.444627315,9.587009605
1.049748305,1.405468774,9.829893881
1.071571907,1.374155653,10.07672224
1.093849209,1.349503292,10.32734302
1.116589641,1.330599689,10.58174086
1.139802833,1.316740857,10.8399752
1.163498612,1.30738074,11.10214486
1.187687011,1.302093356,11.36836787
1.212378272,1.300544486,11.63877031
1.237582849,1.302470563,11.91348017
1.263311413,1.30766294,12.1926243
1.289574857,1.315956113,12.47632702
1.316384302,1.327218867,12.76470962
1.343751098,1.341347584,13.05789048
1.371686833,1.358261146,13.35598526
1.400203333,1.377897027,13.65910735
1.429312674,1.400208275,13.96736821
1.45902718,1.425161167,14.28087779
1.489359431,1.452733355,14.59974483
